	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
2237	311	25	观察	v	VERB	v	VERB	VV	0	0	0	226	572.5	271.6230975871845	14.116003930568697	38.04756832122803	2	239.0	0.75	4	0.0	2	False	False	266.92857142857144	151.64285714285714	95.73509901636636	122.2273099848084
2238	312	25	他们。	r	PRON	r	PRON		1	1	1	29	61.71428571428572	75.50158803573848	18.161015272140503	40.82850503921509	2	1861.0	1.0	4	239.0	2	False	True	61.71428571428572	0.0	75.50158803573848	0.0
2239	313	26	不过，	c	CCONJ	c	CCONJ		10	10	1	1318	213.78571428571428	132.03201915305488	17.96333360671997	39.449907064437866	2	343.0	0.1	10	-1.0	-1	False	True	151.71428571428572	62.07142857142857	89.76829584422059	75.57065216992477
2240	314	26	我	r	PRON	r	PRON	PRP	7	7	1	79	44.285714285714285	73.31188616494072	3.907436847686768	11.320965766906738	1	5517.999999999999	0.2	10	343.0	2	False	False	42.0	2.2857142857142856	71.89973176981559	8.241260058203403
2241	315	26	对	p	ADP	p	ADP	IN	6	3	2	248	160.57142857142858	225.2857595796675	5.496190071105957	26.692359924316406	1	3237.0	0.3	10	5517.999999999999	1	False	False	83.92857142857143	44.35714285714285	89.23681518114297	85.63344401980967
2242	316	26	他们	r	PRON	r	PRON		5	2	2	29	333.92857142857144	246.040491524033	6.339988470077515	35.6296443939209	2	1861.0	0.4	10	3237.0	1	False	False	185.78571428571428	100.14285714285714	110.90805623928097	122.10233245862564
2243	317	26	的	u	PART	uj	PART		4	1	2	13	97.35714285714286	103.09538381162032	1.993009209632873	12.206212997436523	1	77946.0	0.5	10	1861.0	2	False	False	85.71428571428571	5.0	101.04626137950632	18.027756377319943
2244	318	26	印象，	n	NOUN	n	NOUN	NN	3	3	1	289	179.92857142857142	175.88813989323452	8.492613687179983	14.127347230911257	2	61.00000000000001	0.6	10	77946.0	1	False	True	95.64285714285714	46.57142857142857	77.18309135968016	93.22378167285297
2245	319	26	没有	v	VERB	v	VERB	VV	0	0	0	597	193.6428571428572	165.5448179034725	6.822404325008392	34.81383800506592	2	1983.0	0.7	10	61.00000000000001	2	False	False	180.3571428571429	13.285714285714286	153.81324814892392	47.90232408830728
2246	320	26	多	d	ADV	m	ADV	RB	1	2	2	555	186.28571428571428	300.66935531325737	5.674167156219482	7.659647464752197	1	1890.0	0.8	10	1983.0	2	False	False	123.85714285714286	23.214285714285715	138.73039482744792	57.20411894688874
2247	321	26	大	a	ADJ	a	ADJ		2	1	2	2294	119.42857142857144	202.2211357774009	0.981156885623932	6.836843967437744	1	2188.0	0.9	10	1890.0	1	False	False	73.14285714285714	46.285714285714285	121.67982409519148	89.78898164301562
2248	322	26	改变。	v	VERB	v	VERB		3	3	1	321	229.07142857142856	156.65542910920053	5.992839872837067	41.47382593154907	2	260.0	1.0	10	2188.0	1	False	True	179.57142857142858	27.571428571428573	82.0633155258916	48.480797797705854
2249	323	27	碰到	v	VERB	v	VERB	VV	10	10	1	70	288.2142857142857	235.7465886956429	16.17132031917572	19.460773229599	2	38.0	0.0526315789473684	19	-1.0	-1	False	False	179.5	69.21428571428571	109.16615775962804	124.77590115965536
2250	324	27	稍微	d	ADV	d	ADV	RB	9	1	4	205	328.5	114.5305636064016	14.433608412742617	18.4120751619339	2	15.0	0.1052631578947368	19	38.0	2	False	False	224.28571428571428	94.71428571428572	91.04663528059876	104.15814114771317
