	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	5216	282	「噉	CCONJ	CCONJ	zg	CCONJ	CC	2	1	2	3	94.26666666666668	182.14004380024608	1	0.41414	噉	71.73333333333333	22.53333333333333	145.24850735511498	84.31201311530613
1	5217	282	我	PRON	PRON	r	PRON	PRP	1	1	1	704	148.46666666666667	205.86301810238336	1	49930.23889	我	64.46666666666667	61.6	86.03399844764212	109.47255363788678
2	5218	282	諗	VERB	VERB	x	VERB		0	0	0	6	178.06666666666666	161.84785722674516	1	1926.55805	諗	176.2	1.8666666666666667	163.19321881336452	6.984427121978023
3	5219	282	佢哋	PRON	PRON	-	PRON		1	2	2	2	301.8666666666667	266.47998465592536	2	0.0	佢哋	139.73333333333332	114.26666666666668	81.91496946359818	139.09874989453436
4	5220	282	要	AUX	AUX	v	AUX	MD	2	1	2	109	70.93333333333334	122.81719025536378	1	3311.42695	要	49.86666666666667	21.066666666666663	83.98798855921139	53.83365324982341
5	5221	282	疊羅漢	VERB	VERB	ns	VERB		3	3	1	15	291.4	168.67910362579	3	0.0	疊羅漢	200.53333333333333	90.86666666666666	107.15836670813697	120.43580124789398
6	5222	282	噉	CCONJ	CCONJ	zg	CCONJ	CC	4	3	5	3	80.0	137.41955222359493	1	0.41414	噉	58.66666666666666	7.933333333333334	85.64863623484551	29.6838152684066
7	5223	282	一	NUM	NUM	m	NUM	CD	5	1	6	871	61.333333333333336	122.12543642592324	1	4153.77843	一	51.13333333333333	10.2	93.85937471676564	38.16490534509421
8	5224	282	隻	NOUN	DET	x	DET	NNB	6	1	5	1	95.13333333333334	100.4024346761018	1	2023.87988	隻	95.13333333333334	0.0	100.4024346761018	0.0
9	5225	282	疊	NOUN	VERB	x	VERB		7	2	4	3	90.0	102.79169875691971	1	22.77745	疊	90.0	0.0	102.79169875691971	0.0
10	5226	282	一	NUM	NUM	m	NUM	CD	8	1	4	871	68.8	87.31567251454156	1	4153.77843	一	65.53333333333333	3.2666666666666666	83.04606486094865	12.222747463461548
11	5227	282	隻	NOUN	DET	x	DET	NNB	9	2	3	1	32.6	69.4855380636863	1	2023.87988	隻	32.6	0.0	69.4855380636863	0.0
12	5228	282	先	ADV	ADV	d	ADV	RB	10	1	3	158	234.86666666666667	193.9817402632412	1	1651.98626	先	220.6	14.266666666666667	182.36147253920348	53.38097871797488
13	5229	282	夠	VERB	VERB	x	VERB		11	8	2	41	73.53333333333333	105.73921799513282	1	64.19099	夠	73.53333333333333	0.0	105.73921799513282	0.0
14	5230	282	位	ADJ	DET	q	DET		12	1	4	27	55.266666666666666	98.39408292959268	1	197.5426	位	55.266666666666666	0.0	98.39408292959268	0.0
15	5231	282	喇	PART	PART	n	PART	SFN	13	2	3	24	14.2	36.53710442823842	1	2051.62695	喇	14.2	0.0	36.53710442823842	0.0
16	5232	283	。」不過	CCONJ	CCONJ	c	CCONJ		3	3	1	630	156.2	152.6028396415567	2	2318.74431	不過	147.53333333333333	8.666666666666666	139.6690691917466	22.243101302551217
17	5233	283	佢	PRON	PRON	x	PRON		2	2	1	1	21.666666666666668	47.60625542463465	1	21111.38214	佢	21.666666666666668	0.0	47.60625542463465	0.0
18	5234	283	又	ADV	ADV	d	ADV	RB	1	1	1	30	0.0	0.0	1	4585.30755	又	0.0	0.0	0.0	0.0
19	5235	283	頭頭是道	ADJ	ADJ	-	ADJ		0	0	0	232	298.0	270.6555005906956	4	1.24241	頭頭是道	136.6	91.2	101.18155299592247	109.02427864165548
20	5236	283	噉	CCONJ	CCONJ	zg	CCONJ	CC	1	1	2	3	101.93333333333334	129.77440254362784	1	0.41414	噉	93.06666666666666	8.866666666666667	122.8964152808734	33.17602882939561
21	5237	283	解釋	VERB	VERB	v	VERB	VV	2	2	1	70	155.8	129.65143012452018	2	182.63373	解釋	145.46666666666667	10.333333333333334	120.32005466901832	38.66379299666406
22	5238	283	返	PART	PART	v	PART		3	3	1	142	41.0	73.09537149049407	1	1518.63465	返	41.0	0.0	73.09537149049407	0.0
23	5239	283	：「猢猻樹	VERB	NOUN	-	NOUN		4	1	3	28	354.06666666666666	314.48995037820987	3	0.0	猢猻樹	192.7333333333333	105.66666666666669	133.57318426823386	116.3286532009872
24	5240	283	生	VERB	VERB	vn	VERB	VV	5	14	2	108	144.2	177.11510381669882	1	232.74412	生	118.86666666666666	25.33333333333333	133.88296713506497	65.44989601893107
25	5241	283	到	PART	PART	v	PART		6	1	3	67	103.66666666666669	161.19167334436216	1	9168.95856	到	54.86666666666667	48.8	71.79588350935511	97.8094746603484
26	5242	283	好	ADV	ADV	a	ADV		7	1	5	312	96.46666666666668	145.40511988540462	1	10788.64225	好	76.06666666666666	20.4	103.087966751163	76.32981069018842
27	5243	283	大	ADJ	ADJ	a	ADJ	JJ	8	1	4	381	138.66666666666666	148.0966651286322	1	1015.46009	大	100.06666666666666	38.6	95.10167658295455	106.64070517396252
28	5244	283	棵	NOUN	DET	q	DET	NNB	9	4	3	1	82.13333333333334	104.56759642557644	1	31.88843	棵	82.13333333333334	0.0	104.56759642557644	0.0
29	5245	283	之前	ADV	ADV	f	ADV		10	5	3	179	53.0	73.13184440903065	2	715.62603	之前	53.0	0.0	73.13184440903065	0.0
