	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
927	939	75	一	m	NUM	m	NUM	CD	7	1	3	1473	0.0	0.0	1	8489.0	一	0.0	0.0	0.0	0.0
928	940	75	张。	q	DET	q	DET		8	3	2	1366	187.26666666666668	126.82978970082524	1	339.0	张	158.33333333333334	28.933333333333334	107.60462608808022	65.63176737593531
929	941	76	如同	v	VERB	d	VERB	VV	11	11	1	673	222.8	203.04127659173147	2	37.00000000000001	如同	212.8	10.0	192.3584154644657	37.416573867739416
930	942	76	前	nd	NOUN	f	NOUN	NN	10	1	4	310	105.73333333333332	124.43443610548042	1	558.0	前	93.13333333333334	12.6	111.39052423293865	47.144883073351664
931	943	76	几	m	NUM	m	NUM	CD	9	1	3	69	76.2	94.86987579486618	1	956.0	几	72.46666666666667	1.6	91.47740461750954	5.986651818838305
932	944	76	张，	q	DET	q	DET		8	3	2	1366	21.933333333333334	48.26657458554752	1	339.0	张	21.933333333333334	0.0	48.26657458554752	0.0
933	945	76	这	r	PRON	r	PRON	PRD	5	5	1	60	0.0	0.0	1	6817.0	这	0.0	0.0	0.0	0.0
934	946	76	一	m	NUM	m	NUM	CD	4	1	2	1473	42.266666666666666	83.78899423883519	1	8489.0	一	32.733333333333334	9.533333333333331	57.30208450736228	35.67046708724491
935	947	76	张	q	DET	q	DET		3	3	1	1366	29.6	63.41167085008879	1	339.0	张	29.6	0.0	63.41167085008879	0.0
936	948	76	也	d	ADV	d	ADV	RB	2	2	1	10	158.66666666666666	140.23440693670327	1	5013.0	也	158.66666666666666	0.0	140.23440693670327	0.0
937	949	76	被	p	ADP	p	ADP		1	1	1	114	79.6	113.78798999308611	1	1426.0	被	79.6	0.0	113.78798999308611	0.0
938	950	76	拒绝	v	VERB	v	VERB	VV	0	0	0	164	134.13333333333333	181.45958839979284	2	49.0	拒绝	92.13333333333334	26.666666666666668	93.97578884419588	69.94442238107497
939	951	76	了。	u	PART	ul	PART	AS	1	1	1	27	3.2	11.97330363767661	1	13624.0	了	3.2	0.0	11.97330363767661	0.0
