	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
3964	4019	225	到	PART	PART	v	PART		1	1	1	67	206.9333333333333	205.6101380985113	10.54830551147461	8.665570259094238	1	9168.95856	0.625	8	255.10743	1	False	False	120.26666666666668	56.8	106.89463140037586	88.47839660994467
3965	4020	225	出	VERB	VERB	v	VERB	VV	2	2	1	223	142.4	245.1222280142433	11.543464660644531	9.12074851989746	1	993.92505	0.75	8	9168.95856	1	False	False	89.73333333333333	32.13333333333333	90.92815234507349	120.23192402833595
3966	4021	225	晒	PART	PART	v	PART		3	1	2	16	188.7333333333333	183.219528313866	13.80940055847168	13.83140754699707	1	742.95897	0.875	8	993.92505	1	False	False	137.46666666666667	40.266666666666666	119.57974559077954	82.20500119957558
3967	4022	225	煙	NOUN	NOUN	zg	NOUN		4	4	1	25	43.93333333333333	91.46982501835724	17.60425567626953	9.567280769348145	1	49.69625	1.0	8	742.95897	1	False	False	33.6	10.333333333333334	68.50965868644607	38.66379299666405
3968	4023	226	。「幾	NUM	NUM	zg	NUM	CD	9	2	2	269	108.93333333333334	116.42305995329656	36.97516345977783	26.139227390289307	1	809.63478	0.0067114093959731	149	-1.0	-1	True	False	91.4	9.2	90.95478730299652	29.50073445413407
3969	4024	226	百萬	NUM	NUM	m	NUM		8	1	2	91	391.6	280.3250018579625	11.691461086273192	8.178951025009155	2	0.0	0.0134228187919463	149	809.63478	1	False	False	178.06666666666666	149.46666666666667	107.60326306493786	136.49315815168987
3970	4025	226	年	NOUN	NOUN	m	NOUN	NNB	7	7	1	37	103.46666666666668	113.12050604947314	5.667639255523682	3.913716316223145	1	458.86206	0.0201342281879194	149	0.0	2	False	False	92.46666666666668	11.0	104.26176459064732	41.15823125451335
3971	4027	226	嚟	NUM	NUM	zg	NUM		6	1	2	2	65.53333333333333	94.9630571444613	12.77730941772461	8.416091918945312	1	3001.65364	0.0268456375838926	149	458.86206	1	False	False	65.53333333333333	0.0	94.9630571444613	0.0
3972	4028	226	，花	NOUN	NOUN	v	NOUN	NN	3	3	1	64	138.86666666666667	175.08240599468837	14.996338844299316	12.416549921035768	1	78.68573	0.0335570469798657	149	3001.65364	1	True	False	95.46666666666668	29.73333333333333	121.60255845261734	66.5126220268671
3973	4029	226	都	ADV	ADV	d	ADV	RB	2	2	1	35	299.0	331.43144087427794	7.213607311248779	4.342737197875977	1	14767.65553	0.0402684563758389	149	78.68573	1	False	False	167.33333333333334	83.66666666666667	150.00962932055023	150.29999630368889
